ticker,corp_name,market,stck_prpr,per,pbr,eps,bps,market_cap,sector,beta,volatility
095570,AJ네트웍스,KOSPI,3965,8.24,0.4,481,9838,1794,일반서비스,0.5278,24.15
006840,AK홀딩스,KOSPI,12050,-5.48,0.3,-2199,40119,1596,금융,0.5244,27.84
027410,BGF,KOSPI,4300,4.47,0.24,963,18203,4116,금융,0.5415,22.35
282330,BGF리테일,KOSPI,111500,9.87,1.63,11295,68611,19272,유통,0.3081,31.5
138930,BNK금융지주,KOSPI,11170,4.93,0.33,2266,33451,35563,금융,0.6913,33.0
001460,BYC,KOSPI,38150,17.4,0.58,2192,65529,2383,섬유·의류,0.3733,24.52
001465,BYC우,KOSPI,16420,0,0,0,0,354,섬유·의류,0.3111,18.1
001040,CJ,KOSPI,153200,54.38,0.97,2817,157224,44699,금융,1.0861,52.3
079160,CJ CGV,KOSPI,5250,-4.51,1.26,-1163,4177,8693,오락·문화,0.7217,30.96
00104K,CJ4우(전환),KOSPI,124500,0,0,0,0,5262,금융,0.9152,42.83
000120,CJ대한통운,KOSPI,84500,7.76,0.46,10893,185424,19276,운송·창고,0.5178,33.19
011150,CJ씨푸드,KOSPI,3025,21.76,1.31,139,2315,1087,음식료·담배,0.9935,52.49
011155,CJ씨푸드1우,KOSPI,17970,0,0,0,0,36,음식료·담배,0.5167,81.02
001045,CJ우,KOSPI,85900,0,0,0,0,1942,금융,0.5522,26.78
097950,CJ제일제당,KOSPI,239000,26.42,0.49,9046,4.8614E+5,35980,음식료·담배,0.8128,33.06
097955,CJ제일제당 우,KOSPI,140600,0,0,0,0,1866,음식료·담배,0.5027,19.74
000480,CR홀딩스,KOSPI,5440,-108.8,0.41,-5E+1,1.318E+4,2551,비금속,0.4933,17.98
000590,CS홀딩스,KOSPI,88000,3.28,0.32,26869,279351,1016,금융,0.3024,19.82
012030,DB,KOSPI,1484,3.23,0.71,459,2098,2985,IT 서비스,1.0118,43.22
005830,DB손해보험,KOSPI,105900,4.05,0.79,26152,133463,74977,보험,0.9012,40.41
016610,DB증권,KOSPI,7900,6.69,0.32,1.18E+3,24536,3353,증권,0.6769,37.37
000990,DB하이텍,KOSPI,44050,8.55,0.94,5155,46967,19558,전기·전자,1.3934,61.42
000300,DH오토넥스,KOSPI,1984,0.27,3.45,7416,575,1629,운송장비·부품,0.0,0.0
001530,DI동일,KOSPI,34750,569.67,1.34,61,25853,7066,유통,0.487,36.87
015590,DKME,KOSPI,515,51.5,0.96,1E+1,535,1220,기계·장비,0.3542,43.88
000210,DL,KOSPI,48500,12.29,0.27,3947,181531,10164,화학,1.2045,45.05
000215,DL우,KOSPI,23900,0,0,0,0,403,화학,0.6357,28.03
375500,DL이앤씨,KOSPI,48900,9.15,0.43,5347,113286,18921,건설,0.8711,41.2
37550L,DL이앤씨2우(전환),KOSPI,30950,0,0,0,0,654,건설,0.7209,30.56
37550K,DL이앤씨우,KOSPI,20850,0,0,0,0,441,건설,0.7001,43.11
007340,DN오토모티브,KOSPI,22850,4.24,0.76,5383,30093,13370,전기·전자,0.7124,38.39
004840,DRB동일,KOSPI,4750,1E+1,0.24,475,20208,947,화학,0.8707,34.76
155660,DSR,KOSPI,3930,4.32,0.27,909,14456,629,금속,0.6968,35.54
069730,DSR제강,KOSPI,3710,-1.89,0.32,-1965,11477,534,금속,0.8061,37.49
017860,DS단석,KOSPI,25950,-49.81,1.63,-521,15941,4563,화학,1.4411,92.15
092780,DYP,KOSPI,4490,6.97,0.42,644,10667,591,운송장비·부품,0.6876,37.73
017940,E1,KOSPI,76000,8.29,0.31,9164,246026,5214,유통,0.6657,25.71
365550,ESR켄달스퀘어리츠,KOSPI,4355,0,0,0,0,9280,리츠,0.3832,25.33
383220,F&F,KOSPI,76700,8.15,1.82,9408,42153,29382,섬유·의류,0.7808,50.72
007700,F&F홀딩스,KOSPI,16500,6.04,0.29,2734,56573,6454,금융,0.6953,29.73
114090,GKL,KOSPI,14380,26.93,2.15,534,6686,8895,오락·문화,0.3872,26.55
078930,GS,KOSPI,45550,7.61,0.31,5988,148654,42323,금융,0.6553,37.15
006360,GS건설,KOSPI,23500,8.19,0.45,2869,52003,20112,건설,0.9989,42.69
001250,GS글로벌,KOSPI,2655,4.04,0.41,657,6455,2191,유통,1.1129,68.55
007070,GS리테일,KOSPI,15540,621.6,0.4,25,38589,12993,유통,0.3501,28.44
078935,GS우,KOSPI,41150,0,0,0,0,734,금융,0.5038,31.14
499790,GS피앤엘,KOSPI,32350,-688.3,0.77,-47,42243,6415,금융,0.6348,54.05
012630,HDC,KOSPI,21300,8.69,0.45,2.45E+3,46828,12725,금융,0.3894,32.47
039570,HDC랩스,KOSPI,9380,12.83,0.83,731,11333,2435,건설,0.319,21.67
089470,HDC현대EP,KOSPI,3980,6.75,0.35,5.9E+2,11492,1270,화학,0.7395,26.23
294870,HDC현대산업개발,KOSPI,24100,10.2,0.51,2363,47572,15884,건설,0.8235,52.74
009540,HD한국조선해양,KOSPI,319000,19.26,2.03,16565,1.5698E+5,225766,금융,1.0894,51.47
267250,HD현대,KOSPI,118000,18.31,1.02,6444,116021,93212,금융,0.7255,37.02
267270,HD현대건설기계,KOSPI,69200,13.11,0.75,5277,92774,12222,기계·장비,0.7785,55.39
443060,HD현대마린솔루션,KOSPI,182800,34.46,10.59,5305,17255,81948,일반서비스,1.0688,59.07
071970,HD현대마린엔진,KOSPI,44500,18.1,4.88,2459,9.12E+3,15095,기계·장비,0.9858,66.79
010620,HD현대미포,KOSPI,197000,74.56,3.83,2642,51439,78686,운송장비·부품,0.7846,52.39
322000,HD현대에너지솔루션,KOSPI,51000,5.1E+3,1.55,1E+1,33007,5712,전기·전자,1.3068,79.18
042670,HD현대인프라코어,KOSPI,9400,17.09,0.98,5.5E+2,9605,18104,기계·장비,0.9802,47.79
267260,HD현대일렉트릭,KOSPI,389000,27.96,9.24,13914,42085,140223,전기·전자,1.4103,68.53
329180,HD현대중공업,KOSPI,425000,60.71,6.61,7001,64259,377286,운송장비·부품,0.9038,57.76
097230,HJ중공업,KOSPI,7390,115.47,1.78,64,4141,6154,건설,1.2025,86.33
014790,HL D&I,KOSPI,2670,5.84,0.26,457,10129,1011,건설,0.806,40.74
003580,HLB글로벌,KOSPI,3010,-18.02,1.59,-167,1888,1515,유통,0.9143,63.24
204320,HL만도,KOSPI,33900,12.25,0.63,2767,53635,15918,운송장비·부품,0.9644,48.47
060980,HL홀딩스,KOSPI,41000,20.95,0.38,1957,109289,3856,금융,0.4058,19.6
011200,HMM,KOSPI,21600,5.03,0.68,4293,31615,221409,운송·창고,0.8173,40.17
035000,HS애드,KOSPI,7390,5.39,0.58,1.37E+3,12675,1224,일반서비스,0.3103,14.56
002460,HS화성,KOSPI,10620,8.99,0.27,1181,39296,1078,건설,0.3208,20.81
487570,HS효성,KOSPI,61800,104.04,0.42,594,147666,2303,금융,1.1487,59.16
298050,HS효성첨단소재,KOSPI,202000,18.16,0.86,11124,233588,9049,화학,1.2243,44.37
003560,IHQ,KOSPI,10760,-2.72,0.65,-3963,16524,762,오락·문화,0.0,0.0
015360,INVENI,KOSPI,52900,10.93,0.61,4.84E+3,87368,3174,일반서비스,0.4177,25.33
175330,JB금융지주,KOSPI,19160,5.52,0.66,3469,28889,37153,금융,0.6572,35.0
234080,JW생명과학,KOSPI,12400,4.46,0.95,2778,13085,1963,제약,0.5326,19.47
001060,JW중외제약,KOSPI,23050,8.84,1.68,2606,13717,5367,제약,1.0395,37.49
001067,JW중외제약2우B,KOSPI,64600,0,0,0,0,136,제약,-0.0472,18.35
001065,JW중외제약우,KOSPI,28900,0,0,0,0,99,제약,0.1571,24.53
096760,JW홀딩스,KOSPI,3715,4.39,1.13,847,3284,2746,금융,0.6591,30.49
105560,KB금융,KOSPI,106300,8.37,0.71,12705,150243,405494,금융,0.8661,38.89
415640,KB발해인프라,KOSPI,7970,0,0,0,0,9767,인프라투용,0.2199,13.99
432320,KB스타리츠,KOSPI,4040,0,0,0,0,4097,리츠,0.2891,21.1
002380,KCC,KOSPI,327500,9.37,0.54,34948,601382,29103,화학,1.0294,41.8
344820,KCC글라스,KOSPI,31400,13.57,0.34,2314,9.33E+4,5015,비금속,0.4892,20.25
009070,KCTC,KOSPI,4045,4.72,0.41,857,9839,1214,운송·창고,1.175,62.49
009440,KC그린홀딩스,KOSPI,756,0.48,0.11,1588,7101,176,금융,0.6033,77.02
119650,KC코트렐,KOSPI,918,-0.53,0.2,-1728,4537,171,기계·장비,0.553,89.39
092220,KEC,KOSPI,772,-13.54,0.44,-57,1739,1550,전기·전자,1.4698,41.93
003620,KG모빌리티,KOSPI,3435,19.97,0.47,172,7233,6952,운송장비·부품,0.9013,42.24
016380,KG스틸,KOSPI,6240,4.68,0.32,1333,19749,6241,금속,1.0494,35.97
001390,KG케미칼,KOSPI,4510,4.99,0.32,903,13897,3088,화학,1.0987,36.41
033180,KH 필룩스,KOSPI,26550,-13.74,1.42,-1933,18758,1382,전기·전자,0.0,0.0
001940,KISCO홀딩스,KOSPI,25700,12.81,0.3,2007,84443,3643,금속,0.5473,26.86
025000,KPX케미칼,KOSPI,47050,3.55,0.33,13268,144104,2277,화학,0.3714,16.0
