ticker,stck_prpr,per,pbr,roe,eps,bps,dps,dividend_yield
095570,3680,7.65,0.37,,481.00,9838.00,,
006840,10000,-4.55,0.25,,-2199.00,40119.00,,
027410,3455,3.59,0.19,,963.00,18203.00,,
282330,105000,9.30,1.53,,11295.00,68611.00,,
138930,10150,4.48,0.30,,2266.00,33451.00,,
001460,27050,12.34,0.41,,2192.00,65529.00,,
001465,13550,0.00,0.00,,0.00,0.00,,
001040,121000,42.95,0.77,,2817.00,157224.00,,
079160,4560,-3.92,1.09,,-1163.00,4177.00,,
00104K,97800,0.00,0.00,,0.00,0.00,,
000120,83500,7.67,0.45,,10893.00,185424.00,,
011150,3225,23.20,1.39,,139.00,2315.00,,
011155,19800,0.00,0.00,,0.00,0.00,,
001045,64800,0.00,0.00,,0.00,0.00,,
097950,239000,26.42,0.49,,9046.00,486140.00,,
097955,132200,0.00,0.00,,0.00,0.00,,
000480,5100,-102.00,0.39,,-50.00,13180.00,,
000590,73300,2.73,0.26,,26869.00,279351.00,,
012030,1235,2.69,0.59,,459.00,2098.00,,
005830,85200,3.26,0.64,,26152.00,133463.00,,
016610,5840,4.95,0.24,,1180.00,24536.00,,
000990,40900,7.93,0.87,,5155.00,46967.00,,
000300,1984,0.29,3.68,,6957.00,539.00,,
001530,43950,708.87,1.69,,62.00,26002.00,,
000210,30250,7.66,0.17,,3947.00,181444.00,,
000215,19140,0.00,0.00,,0.00,0.00,,
375500,41000,7.67,0.36,,5347.00,113286.00,,
37550L,26150,0.00,0.00,,0.00,0.00,,
37550K,17140,0.00,0.00,,0.00,0.00,,
007340,23300,4.33,0.77,,5383.00,30093.00,,
004840,4490,9.45,0.22,,475.00,20208.00,,
155660,4150,4.57,0.29,,909.00,14456.00,,
069730,3855,-1.96,0.34,,-1965.00,11477.00,,
017860,24500,-47.02,1.54,,-521.00,15941.00,,
017940,60000,6.55,0.24,,9164.00,246026.00,,
365550,4730,0.00,0.00,,0.00,0.00,,
383220,68000,7.23,1.61,,9408.00,42153.00,,
007700,11810,4.32,0.21,,2734.00,56573.00,,
114090,11880,22.25,1.78,,534.00,6686.00,,
078930,36900,6.16,0.25,,5988.00,148654.00,,
006360,16650,5.80,0.32,,2869.00,52003.00,,
001250,2610,3.97,0.40,,657.00,6455.00,,
007070,14090,563.60,0.37,,25.00,38589.00,,
078935,36350,0.00,0.00,,0.00,0.00,,
499790,19260,-409.79,0.46,,-47.00,42243.00,,
012630,18190,7.42,0.39,,2450.00,46828.00,,
039570,8460,11.57,0.75,,731.00,11333.00,,
089470,3505,5.94,0.30,,590.00,11492.00,,
294870,22450,9.50,0.47,,2363.00,47572.00,,
009540,226000,13.64,1.44,,16565.00,156980.00,,
267250,71600,11.11,0.62,,6444.00,116021.00,,
267270,64400,12.20,0.69,,5277.00,92774.00,,
443060,171500,32.33,9.94,,5305.00,17255.00,,
071970,33950,13.81,3.72,,2459.00,9120.00,,
010620,134200,50.79,2.61,,2642.00,51439.00,,
322000,26100,2610.00,0.79,,10.00,33007.00,,
042670,8000,14.55,0.83,,550.00,9605.00,,
267260,330500,23.75,7.85,,13914.00,42085.00,,
329180,359500,51.35,5.59,,7001.00,64259.00,,
097230,7830,122.34,1.89,,64.00,4141.00,,
